,TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SIDO_3,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,trip_day,pre_PAYMENT_load,COMPANION_AGE_avg,PAYMENT_AMT_WON,payment_bin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,자연,도시,숙박,당일,새로운지역,익숙한지역,편하지만비싼숙소,불편하지만저렴한숙소,휴식,체험활동,알려지지않은여행지,알려진여행지,계획,즉흥,사진중요하지않음,사진중요
25,a008021,0,1,40,6,1,3,2,5,2,3,8,10,7,8,1,3,7,1,0.7,25.0,302400.0,0.0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,1,3,0,1,0,2,0,2,0,0,3
26,a002222,5,1,60,6,1,1,3,0,2,0,12,15,0,6,9,3,2,2,0.2,35.0,386499.0,0.0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2
27,a005485,8,0,20,6,0,0,1,4,1,2,7,15,6,1,1,1,1,1,0.5,25.0,64000.0,0.0,1,0,0,1,0,1,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0,0,2,2,0
28,a007957,3,0,30,6,0,0,2,4,1,1,15,1,8,11,9,4,0,1,0.5,30.0,39500.0,0.0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,2,2,0,1,0,0,2,0,1
29,a001548,3,0,30,6,0,0,2,3,1,0,12,6,15,11,9,4,1,3,0.5,35.0,97310.0,0.0,1,1,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,2,0,3,0
30,a011069,8,1,20,6,0,2,2,4,2,2,15,8,1,1,9,4,0,2,0.5,20.0,334900.0,0.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,2,0,0,0
31,a007329,0,0,20,6,0,0,1,4,1,0,7,4,15,8,1,4,0,1,0.5,20.0,10000.0,0.0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,1,0,2,0,0,2,2,0
32,a012452,0,1,30,6,0,3,2,4,1,1,7,15,10,8,1,1,1,2,0.0,35.0,116300.0,0.0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0
33,c002035,8,0,20,6,0,3,9,2,2,2,15,1,0,1,9,4,0,1,0.5,20.0,94050.0,0.0,1,1,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,1,0,2,2,0,2,0,0,3
34,a018147,0,1,60,4,3,2,2,2,1,1,8,15,12,8,1,6,2,1,0.5,45.0,69800.0,0.0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,2,0,1,0,3,0,0,0,0,2
