TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
b_b005444,속초관광수산시장,강원,속초시,4.0,4.0,4.0,4.0,90.0,1,b005444,1,남,20,2,2,1,4,4,4,5,2,6,3,5,2
b_b005444,속초해수욕장,강원,속초시,1.0,4.0,4.0,4.0,30.0,1,b005444,1,남,20,2,2,1,4,4,4,5,2,6,3,5,2
b_b008074,휴휴암,강원,양양군,2.0,3.0,3.0,3.0,30.0,0,b008074,28,남,50,6,2,1,2,4,3,6,6,2,6,5,3
b_b008074,서피비치,강원,양양군,5.0,4.0,5.0,4.0,30.0,0,b008074,28,남,50,6,2,1,2,4,3,6,6,2,6,5,3
b_b008074,하조대전망대,강원,양양군,1.0,3.0,3.0,3.0,30.0,0,b008074,28,남,50,6,2,1,2,4,3,6,6,2,6,5,3
b_b008074,양양전통시장,강원,양양군,4.0,5.0,5.0,5.0,30.0,0,b008074,28,남,50,6,2,1,2,4,3,6,6,2,6,5,3
b_b018624,태화강국가정원,울산,중구,1.0,4.0,4.0,4.0,30.0,0,b018624,4,여,20,4,3,3,3,5,3,4,6,5,1,1,0
b_b010905,팔공산케이블카,대구,동구,6.0,4.0,3.0,4.0,150.0,0,b010905,22,여,20,5,5,7,1,3,4,3,5,6,1,4,0
b_b002821,대릉원,경북,경주시,2.0,5.0,5.0,5.0,60.0,1,b002821,3,여,50,8,2,1,7,1,1,7,2,7,3,2,1
b_b002171,속초해수욕장,강원,속초시,1.0,4.0,4.0,4.0,120.0,0,b002171,4,남,20,3,5,2,2,3,6,4,6,5,1,5,1
b_b002171,속초관광수산시장,강원,속초시,4.0,4.0,4.0,4.0,30.0,0,b002171,4,남,20,3,5,2,2,3,6,4,6,5,1,5,1
b_b000775,아야진해수욕장,강원,고성군,1.0,5.0,5.0,5.0,90.0,0,b000775,22,여,40,4,2,3,1,3,6,5,1,7,6,2,3
b_b000775,외옹치 바다향기로,강원,속초시,1.0,5.0,5.0,5.0,60.0,0,b000775,22,여,40,4,2,3,1,3,6,5,1,7,6,2,3
b_b000775,중앙시장입구삼거리,강원,속초시,4.0,5.0,5.0,5.0,60.0,0,b000775,22,여,40,4,2,3,1,3,6,5,1,7,6,2,3
b_b005919,맹방해수욕장,강원,삼척시,1.0,4.0,3.0,4.0,60.0,0,b005919,6,남,40,6,2,2,3,4,6,6,2,6,8,2,3
b_b005919,이사부사자공원,강원,삼척시,1.0,3.0,3.0,3.0,30.0,0,b005919,6,남,40,6,2,2,3,4,6,6,2,6,8,2,3
b_b005919,삼척해변,강원,삼척시,1.0,4.0,4.0,4.0,60.0,0,b005919,6,남,40,6,2,2,3,4,6,6,2,6,8,2,3
b_b016240,월정사,강원,평창군,2.0,5.0,5.0,5.0,60.0,0,b016240,3,남,30,6,1,1,1,1,1,2,7,7,3,40,1
b_b016240,오대산국립공원 선재길코스,강원,평창군,7.0,5.0,5.0,5.0,180.0,0,b016240,3,남,30,6,1,1,1,1,1,2,7,7,3,40,1
b_b008587,강릉중앙시장,강원,강릉시,4.0,4.0,4.0,4.0,30.0,1,b008587,26,남,20,2,6,2,3,4,3,5,2,5,1,5,0
b_b000156,강릉중앙시장,강원,강릉시,4.0,5.0,5.0,5.0,60.0,1,b000156,1,여,20,2,3,1,3,4,6,5,1,6,2,2,0
b_b015901,밀락 더 마켓,부산,수영구,3.0,4.0,4.0,4.0,60.0,0,b015901,4,여,30,1,6,4,5,4,3,5,2,6,1,10,1
b_b015901,해동용궁사,부산,기장군,2.0,4.0,4.0,4.0,60.0,0,b015901,4,여,30,1,6,4,5,4,3,5,2,6,1,10,1
b_b015901,광안리해수욕장,부산,수영구,1.0,4.0,4.0,4.0,30.0,1,b015901,4,여,30,1,6,4,5,4,3,5,2,6,1,10,1
b_b015901,부평깡통시장,부산,중구,4.0,4.0,3.0,4.0,60.0,1,b015901,4,여,30,1,6,4,5,4,3,5,2,6,1,10,1
b_b007994,교촌마을,경북,경주시,7.0,3.0,2.0,3.0,30.0,0,b007994,3,여,40,5,4,1,1,4,6,6,7,7,8,1,5
b_b007994,경주문무대왕릉,경북,경주시,1.0,5.0,5.0,5.0,60.0,0,b007994,3,여,40,5,4,1,1,4,6,6,7,7,8,1,5
b_b007994,월정교,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b007994,3,여,40,5,4,1,1,4,6,6,7,7,8,1,5
b_b007994,첨성대,경북,경주시,2.0,5.0,5.0,5.0,180.0,0,b007994,3,여,40,5,4,1,1,4,6,6,7,7,8,1,5
b_b007994,불국사,경북,경주시,2.0,5.0,5.0,5.0,90.0,0,b007994,3,여,40,5,4,1,1,4,6,6,7,7,8,1,5
b_b003463,환호공원 스페이스워크,경북,포항시,6.0,5.0,4.0,4.0,60.0,0,b003463,6,남,40,12,2,2,3,5,2,3,5,4,1,8,2
b_b003463,구룡포일본인가옥거리,경북,포항시,4.0,5.0,4.0,5.0,30.0,0,b003463,6,남,40,12,2,2,3,5,2,3,5,4,1,8,2
b_b003463,사방기념공원,경북,포항시,3.0,5.0,4.0,4.0,30.0,0,b003463,6,남,40,12,2,2,3,5,2,3,5,4,1,8,2
b_b000111,속초해수욕장,강원,속초시,1.0,4.0,3.0,3.0,30.0,1,b000111,21,여,20,5,1,4,2,6,2,2,6,6,7,4,0
b_b000111,외옹치 바다향기로,강원,속초시,7.0,4.0,4.0,4.0,30.0,0,b000111,21,여,20,5,1,4,2,6,2,2,6,6,7,4,0
