SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
강원,주문진해변,강릉시,1.0,96.0,4.6,0.2,1.0,4.6
강원,월정사,평창군,2.0,63.333333333333336,4.222222222222222,0.6666666666666666,1.6666666666666667,4.0
경북,경주중앙시장,경주시,4.0,46.66666666666666,3.0,0.0,1.4444444444444444,3.2222222222222223
강원,레고랜드코리아리조트,춘천시,6.0,384.0,4.0,0.0,2.2,3.8
경북,분황사,경주시,2.0,42.0,3.8,0.2,0.6,3.6
강원,파크로쉬리조트앤웰니스,정선군,5.0,150.0,5.0,0.0,1.0,5.0
경북,금관총,경주시,2.0,36.0,4.4,0.0,0.8,4.2
강원,설악산국립공원,인제군,1.0,150.0,4.4,0.8,2.0,4.4
대구,주교좌계산대성당,중구,2.0,35.0,3.8333333333333335,0.0,0.8333333333333334,3.8333333333333335
경북,등기산스카이워크,울진군,1.0,66.0,4.6,0.2,1.4,4.4
강원,인구해변,양양군,4.0,68.18181818181819,4.454545454545454,0.2727272727272727,1.3636363636363635,4.181818181818182
강원,화암사,고성군,2.0,60.0,4.4,0.2,2.6,4.4
경남,상림공원,함양군,6.0,66.0,5.0,0.8,3.8,5.0
강원,양양전통시장,양양군,4.0,51.42857142857143,3.7142857142857135,0.0,1.4285714285714286,3.4285714285714284
강원,통일전망대,고성군,3.0,82.5,3.875,0.25,3.875,3.75
울산,대왕암공원 출렁다리,동구,1.0,48.0,4.6,0.0,1.8,4.2
대구,현대백화점 대구점,중구,4.0,78.0,4.2,0.2,0.6,4.2
대구,대구근대역사관,중구,2.0,36.0,3.8,0.0,0.6,3.4
강원,어달해변,동해시,1.0,78.0,3.6,0.2,1.6,3.6
경남,진주성,진주시,2.0,70.0,4.611111111111111,0.3333333333333333,1.6666666666666667,4.333333333333333
부산,전포카페거리,부산진구,4.0,47.5,4.25,0.4166666666666667,1.0,4.166666666666667
경남,화개장터,하동군,4.0,34.285714285714285,3.2857142857142856,0.2857142857142857,1.4285714285714286,3.0
