TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b009864,6,여,30,2,4,2,2,2,6,6,2,6,1,2,4,"['울산+울주군', '부산+강서구']"
b_b007529,13,여,30,4,2,2,2,6,2,4,6,4,2,1,0,['강원+양양군']
b_b004370,26,여,40,4,3,1,2,3,4,6,2,6,2,3,1,['강원+강릉시']
b_b008359,3,여,50,2,5,3,2,3,6,3,4,5,2,2,3,"['강원+인제군', '강원+양양군']"
b_b018625,3,여,40,4,2,7,4,4,4,5,5,7,3,2,1,['경북+경주시']
b_b017827,2,여,50,1,2,5,4,4,6,4,3,2,2,1,1,['강원+춘천시']
b_b007857,22,여,30,4,1,7,4,1,2,4,2,6,2,5,0,"['강원+동해시', '강원+삼척시']"
b_b004923,8,남,30,7,4,2,1,2,3,2,2,5,1,1,3,['강원+철원군']
b_b013735,22,남,30,4,3,2,1,3,5,4,4,6,7,1,1,['경북+청송군']
b_b003839,4,여,20,3,4,3,2,3,4,3,3,5,3,1,1,"['대구+동구', '대구+중구']"
b_b005439,24,남,30,6,3,2,2,4,4,4,5,2,1,4,0,['강원+속초시']
b_b001096,2,남,50,5,4,5,4,3,4,5,4,4,2,2,1,['강원+삼척시']
b_b006664,22,여,30,1,2,2,3,6,2,6,2,2,1,2,1,['경남+양산시']
b_b008138,1,남,30,5,3,1,1,2,1,5,3,5,3,3,1,['강원+속초시']
b_b013792,11,여,20,1,2,2,4,4,6,7,1,6,6,5,0,['대구+수성구']
b_b014149,2,여,20,1,7,1,1,1,7,7,1,7,3,1,1,['부산+기장군']
b_b001995,2,여,20,4,7,1,1,7,7,7,7,7,1,1,1,['경북+경주시']
b_b015915,21,여,20,4,2,2,2,2,2,6,2,6,2,6,3,['강원+속초시']
b_b001161,22,여,20,5,6,4,3,2,4,5,6,5,3,1,4,"['부산+수영구', '부산+기장군']"
b_b004573,2,여,50,3,2,2,2,2,2,4,1,7,1,5,4,['강원+평창군']
b_b008280,3,여,60,4,3,3,2,5,2,4,3,5,2,1,3,['강원+철원군']
b_b000118,8,여,30,4,2,1,1,2,1,1,3,7,3,1,1,['강원+춘천시']
b_b009785,3,남,40,4,7,7,4,1,7,7,7,4,2,1,0,['경남+김해시']
b_b018571,1,여,30,4,3,1,3,3,4,5,6,5,1,4,0,['경남+김해시']
b_b009322,22,여,20,4,3,5,5,2,2,6,2,7,3,3,1,['경남+거창군']
